split,class,image_path,file_hash,label
train,Demodicosis,../datasets/feed/train/Demodicosis/1-7-_png_jpg.rf.d242de2a1bc4940135ad02e43da86cd8.jpg,0018ca2834162c4f92d4de04d9c0e33d,0
valid,Ringworm,../datasets/feed/valid/Ringworm/ringworm-76-_jpg.rf.b44c1b7da71e3a61e7c380f21ed80098.jpg,004380a326228acf8ddd0b854a3c8c39,5
train,Demodicosis,../datasets/feed/train/Demodicosis/2024-05-13-134023_1_jpg.rf.a3264ac0660f7f4dc94e78b8688e6bad.jpg,00651a384d0537720a4f3a807111a4ca,0
train,Ringworm,../datasets/feed/train/Ringworm/ringworm-129-_jpg.rf.929448566f99e71a65687073a984b962.jpg,008084aec0f3ead2d1108f552cb39920,5
valid,Ringworm,../datasets/feed/valid/Ringworm/ringworm-32-_jpg.rf.0ee52cf07785337f82017f647ca27d6b.jpg,0089f250f35d40d8eb058840abb401b2,5
train,Healthy,../datasets/feed/train/Healthy/best-dog-food-for-skin-allergies-feature-2_jpg.rf.bfa6f4d3d76c0d77788ef3805db06d30.jpg,008bf96ce9d8395d55b383318ff363d2,3
train,Demodicosis,../datasets/feed/train/Demodicosis/P27_png_jpg.rf.bc2b5c49cf910e4bb4db7ddc03054f10.jpg,00907a5a50c3c5798fa19490ca78b358,0
train,Ringworm,../datasets/feed/train/Ringworm/ringworm-78-_jpg.rf.3ca435512c0fbb79852013f4f8411892.jpg,0098f07b9f735d40b716f96dc0b6d155,5
train,Ringworm,../datasets/feed/train/Ringworm/ringworm-116-_jpg.rf.f9d0d2b1a70e5e42279df2164f82fa19.jpg,00a0e97667505ef8b25f178b9175e174,5
valid,Dermatitis,../datasets/feed/valid/Dermatitis/1000011977_x4_jpg.rf.92db123e6a04ec3e7afb2ac188fb4b76.jpg,00c7422cd20815c1f9326baa08ba6398,1
train,Healthy,../datasets/feed/train/Healthy/pic8_jpg.rf.3a6aa4f153cb1889b32b27fadaed70d5.jpg,00e83b281d07676b0f8d0da01d89ebbe,3
train,Fungal Infections,../datasets/feed/train/Fungal Infections/pic85_jpg.rf.8d14344f4361e0e43a1fb158ee3899c0.jpg,00ec9d1d38532b7035177a5521c20358,2
train,Hypersensitivity,../datasets/feed/train/Hypersensitivity/Hypersensitivity_2_jpg.rf.3df7d53aadaec4d35afe9d934bf51090.jpg,00f072a95d8cd7fc438e09c25dfd7351,4
train,Dermatitis,../datasets/feed/train/Dermatitis/1000010770_x4_jpg.rf.4f5f69467b0680db7f3aca37bfcd1c5b.jpg,00f8fc2e4a12403ff679805c91ca90aa,1
